,0
0,2908.0
1,2882.0
2,2864.0
3,2785.0
4,2732.0
5,2879.0
6,2734.0
7,2839.0
8,2886.0
9,2783.0
10,2744.0
11,2775.0
12,2725.0
13,2707.0
14,2655.0
15,2651.0
16,2643.0
17,2614.0
18,2488.0
19,2505.0
20,2437.0
21,2427.0
22,2367.0
23,2339.0
24,2365.0
25,2360.0
26,2292.0
27,2224.0
28,2102.0
29,2059.0
30,2163.0
31,2097.0
32,2101.0
33,2061.0
34,2099.0
35,2076.0
36,2093.0
37,2112.0
38,2163.0
39,2188.0
40,2107.0
41,2196.0
42,2225.0
43,2263.0
44,2317.0
45,2328.0
46,2280.0
47,2358.0
48,2388.0
49,2419.0
50,2448.0
51,2864.0
52,2851.0
53,2847.0
54,2771.0
55,2689.0
56,2866.0
57,2812.0
58,2852.0
59,2841.0
60,2766.0
61,2738.0
62,2767.0
63,2706.0
64,2687.0
65,2649.0
66,2673.0
67,2655.0
68,2572.0
69,2498.0
70,2488.0
71,2419.0
72,2388.0
73,2374.0
74,2391.0
75,2397.0
76,2320.0
77,2244.0
78,2193.0
79,2175.0
80,2127.0
81,2146.0
82,2187.0
83,2112.0
84,2154.0
85,2132.0
86,2096.0
87,2096.0
88,2125.0
89,2194.0
90,2222.0
91,2141.0
92,2209.0
93,2215.0
94,2282.0
95,2323.0
96,2299.0
97,2294.0
98,2366.0
99,2393.0
100,2425.0
101,2464.0
102,2892.0
103,2786.0
104,2804.0
105,2739.0
106,2759.0
107,2767.0
108,2839.0
109,2901.0
110,2777.0
111,2758.0
112,2743.0
113,2757.0
114,2714.0
115,2670.0
116,2639.0
117,2659.0
118,2652.0
119,2424.0
120,2514.0
121,2482.0
122,2434.0
123,2367.0
124,2365.0
125,2403.0
126,2394.0
127,2303.0
128,2218.0
129,2157.0
130,2166.0
131,2165.0
132,2132.0
133,2127.0
134,2096.0
135,2148.0
136,2092.0
137,2081.0
138,2118.0
139,2164.0
140,2173.0
141,2127.0
142,2127.0
143,2235.0
144,2250.0
145,2323.0
146,2339.0
147,2260.0
148,2318.0
149,2376.0
150,2422.0
151,2446.0
152,2511.0
153,2907.0
154,2830.0
155,2787.0
156,2713.0
157,2870.0
158,2744.0
159,2848.0
160,2890.0
161,2790.0
162,2727.0
163,2775.0
164,2741.0
165,2675.0
166,2673.0
167,2638.0
168,2667.0
169,2641.0
170,2464.0
171,2477.0
172,2446.0
173,2398.0
174,2402.0
175,2371.0
176,2367.0
177,2353.0
178,2260.0
179,2227.0
180,2118.0
181,2113.0
182,2160.0
183,2209.0
184,2112.0
185,2132.0
186,2144.0
187,2130.0
188,2085.0
189,2140.0
190,2181.0
191,2237.0
192,2105.0
193,2186.0
194,2229.0
195,2271.0
196,2320.0
197,2324.0
198,2304.0
199,2360.0
200,2397.0
201,2435.0
202,2465.0
203,2488.0
204,2836.0
205,2867.0
206,2785.0
207,2691.0
208,2877.0
209,2833.0
210,2840.0
211,2841.0
212,2790.0
213,2731.0
214,2787.0
215,2720.0
216,2677.0
217,2662.0
218,2599.0
219,2682.0
220,2603.0
221,2507.0
222,2476.0
223,2420.0
224,2397.0
225,2414.0
226,2398.0
227,2387.0
228,2341.0
229,2244.0
230,2212.0
231,2120.0
232,2127.0
233,2179.0
234,2165.0
235,2190.0
236,2144.0
237,2198.0
238,2127.0
239,2165.0
240,2182.0
241,2223.0
242,2143.0
243,2110.0
244,2212.0
245,2269.0
