,0
0,2141.0
1,2126.0
2,2098.0
3,2042.0
4,1987.0
5,1921.0
6,1819.0
7,1752.0
8,1694.0
9,1679.0
10,1664.0
11,1628.0
12,1608.0
13,1581.0
14,1572.0
15,1558.0
16,1535.0
17,1530.0
18,1512.0
19,1502.0
20,1485.0
21,1438.0
22,1429.0
23,1419.0
24,1406.0
25,1390.0
26,1387.0
27,1371.0
28,1358.0
29,1361.0
30,1359.0
31,1348.0
32,1346.0
33,1345.0
34,1332.0
35,1326.0
36,1325.0
37,1350.0
38,1393.0
39,1399.0
40,1416.0
41,1419.0
42,1426.0
43,1450.0
44,1474.0
45,1491.0
46,1511.0
47,1524.0
48,1556.0
49,1561.0
50,1577.0
51,2133.0
52,2116.0
53,2048.0
54,2013.0
55,1953.0
56,1863.0
57,1782.0
58,1715.0
59,1685.0
60,1669.0
61,1643.0
62,1621.0
63,1593.0
64,1569.0
65,1562.0
66,1551.0
67,1529.0
68,1532.0
69,1522.0
70,1495.0
71,1461.0
72,1438.0
73,1425.0
74,1414.0
75,1407.0
76,1381.0
77,1371.0
78,1358.0
79,1340.0
80,1347.0
81,1350.0
82,1347.0
83,1349.0
84,1344.0
85,1334.0
86,1305.0
87,1327.0
88,1363.0
89,1384.0
90,1405.0
91,1416.0
92,1422.0
93,1436.0
94,1464.0
95,1466.0
96,1490.0
97,1498.0
98,1531.0
99,1556.0
100,1566.0
101,1577.0
102,2120.0
103,2084.0
104,2040.0
105,1975.0
106,1889.0
107,1809.0
108,1738.0
109,1693.0
110,1683.0
111,1657.0
112,1643.0
113,1613.0
114,1582.0
115,1575.0
116,1556.0
117,1547.0
118,1541.0
119,1524.0
120,1509.0
121,1478.0
122,1445.0
123,1432.0
124,1415.0
125,1412.0
126,1383.0
127,1375.0
128,1354.0
129,1337.0
130,1340.0
131,1348.0
132,1341.0
133,1350.0
134,1343.0
135,1346.0
136,1322.0
137,1307.0
138,1332.0
139,1367.0
140,1388.0
141,1398.0
142,1416.0
143,1416.0
144,1435.0
145,1450.0
146,1473.0
147,1488.0
148,1512.0
149,1532.0
150,1555.0
151,1565.0
152,1584.0
153,2103.0
154,2055.0
155,2010.0
156,1934.0
157,1826.0
158,1769.0
159,1708.0
160,1689.0
161,1660.0
162,1651.0
163,1619.0
164,1596.0
165,1582.0
166,1568.0
167,1553.0
168,1533.0
169,1541.0
170,1519.0
171,1500.0
172,1461.0
173,1444.0
174,1419.0
175,1403.0
176,1392.0
177,1377.0
178,1367.0
179,1345.0
180,1338.0
181,1336.0
182,1339.0
183,1342.0
184,1332.0
185,1337.0
186,1334.0
187,1301.0
188,1308.0
189,1339.0
190,1366.0
191,1386.0
192,1397.0
193,1411.0
194,1411.0
195,1437.0
196,1452.0
197,1468.0
198,1488.0
199,1517.0
200,1532.0
201,1550.0
202,1566.0
203,1585.0
204,2072.0
205,2035.0
206,1972.0
207,1865.0
208,1791.0
209,1724.0
210,1700.0
211,1668.0
212,1662.0
213,1646.0
214,1614.0
215,1592.0
216,1578.0
217,1560.0
218,1552.0
219,1554.0
220,1522.0
221,1518.0
222,1490.0
223,1459.0
224,1443.0
225,1400.0
226,1400.0
227,1388.0
228,1364.0
229,1345.0
230,1329.0
231,1331.0
232,1335.0
233,1324.0
234,1332.0
235,1337.0
236,1339.0
237,1313.0
238,1304.0
239,1313.0
