,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,644.0,637.0,631.0,648.0,636.0,638.0,629.0,10000.0,10000.0,654.0,633.0,10000.0,650.0,651.0,636.0,10000.0,10000.0,635.0,615.0,10000.0,10000.0,10000.0,10000.0,596.0,500.0,10000.0,10000.0,583.0,538.0,476.0,10000.0,10000.0,467.0,10000.0,10000.0,10000.0,497.0,553.0,10000.0,10000.0,451.0,564.0,512.0,586.0,10000.0,496.0,516.0,10000.0,497.0,10000.0,503.0,511.0,557.0,10000.0,10000.0,10000.0,576.0,491.0,529.0,637.0,525.0,496.0,10000.0,10000.0,620.0,10000.0,602.0,614.0,10000.0,622.0,10000.0,550.0,10000.0,10000.0,10000.0,599.0,583.0,667.0,10000.0,662.0,629.0,649.0,629.0,644.0,686.0,648.0,634.0,630.0,676.0,646.0,646.0,687.0,641.0,659.0,624.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
1,636.0,630.0,629.0,647.0,634.0,640.0,635.0,629.0,635.0,635.0,627.0,10000.0,660.0,640.0,10000.0,621.0,10000.0,638.0,641.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,596.0,10000.0,615.0,565.0,573.0,10000.0,10000.0,10000.0,10000.0,497.0,10000.0,10000.0,559.0,549.0,554.0,457.0,576.0,10000.0,583.0,10000.0,493.0,10000.0,10000.0,10000.0,10000.0,458.0,10000.0,10000.0,10000.0,10000.0,480.0,10000.0,10000.0,478.0,569.0,561.0,558.0,605.0,574.0,599.0,10000.0,545.0,10000.0,570.0,650.0,10000.0,564.0,10000.0,10000.0,10000.0,10000.0,669.0,655.0,624.0,676.0,627.0,10000.0,619.0,10000.0,643.0,656.0,666.0,635.0,673.0,646.0,10000.0,632.0,10000.0,10000.0,668.0,644.0,612.0,587.0,572.0,10000.0
2,637.0,634.0,637.0,631.0,630.0,630.0,628.0,624.0,627.0,632.0,638.0,641.0,633.0,638.0,10000.0,652.0,633.0,10000.0,642.0,640.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,528.0,10000.0,562.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,471.0,10000.0,10000.0,500.0,10000.0,10000.0,10000.0,556.0,514.0,582.0,10000.0,566.0,10000.0,10000.0,463.0,623.0,564.0,567.0,496.0,10000.0,10000.0,560.0,10000.0,589.0,515.0,10000.0,536.0,10000.0,611.0,628.0,596.0,542.0,557.0,10000.0,10000.0,10000.0,543.0,10000.0,621.0,10000.0,654.0,641.0,599.0,10000.0,596.0,666.0,647.0,628.0,645.0,685.0,648.0,634.0,625.0,675.0,643.0,655.0,662.0,633.0,662.0,638.0,10000.0,649.0,624.0,10000.0,567.0
3,638.0,633.0,642.0,643.0,646.0,637.0,643.0,641.0,635.0,629.0,626.0,637.0,636.0,637.0,636.0,641.0,649.0,10000.0,643.0,10000.0,631.0,616.0,10000.0,10000.0,10000.0,10000.0,553.0,529.0,599.0,10000.0,10000.0,10000.0,472.0,545.0,569.0,10000.0,549.0,556.0,563.0,579.0,10000.0,489.0,457.0,508.0,10000.0,10000.0,586.0,10000.0,488.0,10000.0,10000.0,10000.0,560.0,621.0,593.0,506.0,10000.0,10000.0,506.0,531.0,10000.0,589.0,503.0,581.0,507.0,615.0,614.0,10000.0,573.0,10000.0,10000.0,581.0,10000.0,10000.0,10000.0,10000.0,635.0,10000.0,10000.0,10000.0,621.0,623.0,625.0,10000.0,623.0,10000.0,645.0,654.0,675.0,634.0,672.0,646.0,10000.0,646.0,649.0,10000.0,652.0,615.0,610.0,601.0,581.0
4,624.0,10000.0,680.0,10000.0,10000.0,10000.0,678.0,636.0,640.0,644.0,642.0,641.0,637.0,629.0,627.0,625.0,637.0,631.0,632.0,647.0,659.0,641.0,636.0,10000.0,10000.0,10000.0,10000.0,648.0,541.0,559.0,10000.0,552.0,10000.0,10000.0,569.0,10000.0,10000.0,10000.0,544.0,10000.0,471.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,585.0,10000.0,530.0,10000.0,10000.0,431.0,430.0,10000.0,620.0,468.0,10000.0,488.0,582.0,10000.0,561.0,10000.0,556.0,586.0,530.0,10000.0,597.0,611.0,609.0,10000.0,534.0,596.0,10000.0,10000.0,10000.0,645.0,626.0,10000.0,10000.0,10000.0,609.0,676.0,651.0,636.0,647.0,689.0,647.0,642.0,638.0,666.0,653.0,643.0,645.0,10000.0,625.0,653.0,647.0,645.0,651.0,601.0
5,629.0,627.0,633.0,624.0,617.0,620.0,618.0,632.0,636.0,631.0,10000.0,10000.0,622.0,638.0,637.0,636.0,629.0,633.0,632.0,643.0,633.0,648.0,10000.0,632.0,626.0,10000.0,10000.0,611.0,599.0,10000.0,10000.0,553.0,10000.0,10000.0,578.0,445.0,10000.0,10000.0,10000.0,10000.0,419.0,422.0,471.0,592.0,546.0,10000.0,10000.0,10000.0,579.0,10000.0,10000.0,494.0,617.0,10000.0,10000.0,474.0,591.0,10000.0,10000.0,10000.0,10000.0,10000.0,570.0,522.0,460.0,10000.0,500.0,630.0,563.0,10000.0,601.0,10000.0,554.0,10000.0,550.0,10000.0,570.0,10000.0,10000.0,10000.0,10000.0,632.0,633.0,628.0,10000.0,627.0,10000.0,645.0,659.0,665.0,632.0,641.0,642.0,10000.0,631.0,634.0,10000.0,10000.0,10000.0,10000.0,10000.0
6,598.0,602.0,593.0,612.0,620.0,633.0,642.0,642.0,10000.0,10000.0,618.0,606.0,630.0,643.0,10000.0,673.0,648.0,637.0,637.0,629.0,635.0,635.0,636.0,644.0,10000.0,622.0,632.0,638.0,625.0,10000.0,603.0,560.0,580.0,10000.0,507.0,480.0,525.0,10000.0,597.0,10000.0,613.0,10000.0,10000.0,551.0,529.0,536.0,10000.0,468.0,10000.0,583.0,10000.0,493.0,485.0,515.0,552.0,10000.0,10000.0,532.0,10000.0,10000.0,10000.0,10000.0,463.0,643.0,568.0,583.0,10000.0,570.0,622.0,10000.0,623.0,10000.0,587.0,525.0,10000.0,10000.0,10000.0,651.0,646.0,10000.0,10000.0,10000.0,611.0,674.0,652.0,628.0,640.0,666.0,651.0,638.0,636.0,660.0,648.0,10000.0,653.0,10000.0,647.0,620.0,607.0,616.0,593.0
7,639.0,640.0,645.0,644.0,628.0,622.0,10000.0,10000.0,680.0,626.0,611.0,600.0,644.0,10000.0,669.0,613.0,631.0,645.0,10000.0,642.0,643.0,639.0,624.0,633.0,647.0,626.0,10000.0,635.0,631.0,637.0,654.0,10000.0,580.0,10000.0,10000.0,10000.0,10000.0,458.0,518.0,10000.0,10000.0,10000.0,10000.0,10000.0,583.0,10000.0,498.0,10000.0,530.0,452.0,549.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,521.0,553.0,592.0,623.0,556.0,575.0,533.0,585.0,613.0,565.0,528.0,10000.0,10000.0,10000.0,568.0,10000.0,592.0,587.0,608.0,10000.0,10000.0,630.0,619.0,633.0,10000.0,621.0,10000.0,648.0,655.0,639.0,636.0,643.0,648.0,10000.0,638.0,649.0,645.0,603.0,629.0,597.0
8,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,664.0,623.0,610.0,658.0,609.0,643.0,10000.0,635.0,601.0,635.0,10000.0,623.0,629.0,671.0,650.0,647.0,641.0,618.0,626.0,648.0,644.0,10000.0,634.0,629.0,10000.0,613.0,615.0,569.0,559.0,525.0,10000.0,10000.0,10000.0,599.0,10000.0,509.0,10000.0,10000.0,574.0,468.0,526.0,493.0,577.0,10000.0,528.0,10000.0,515.0,10000.0,451.0,608.0,598.0,607.0,10000.0,10000.0,576.0,10000.0,512.0,456.0,524.0,514.0,10000.0,589.0,614.0,10000.0,10000.0,10000.0,10000.0,497.0,10000.0,562.0,10000.0,10000.0,680.0,10000.0,10000.0,10000.0,605.0,644.0,647.0,629.0,652.0,650.0,662.0,654.0,629.0,675.0,642.0,10000.0,650.0,690.0,10000.0,10000.0,645.0,10000.0
9,629.0,10000.0,638.0,598.0,608.0,625.0,605.0,662.0,613.0,607.0,622.0,10000.0,622.0,10000.0,641.0,10000.0,620.0,10000.0,607.0,616.0,10000.0,626.0,646.0,10000.0,647.0,634.0,634.0,635.0,633.0,641.0,645.0,10000.0,610.0,625.0,10000.0,10000.0,10000.0,10000.0,489.0,10000.0,10000.0,10000.0,10000.0,10000.0,520.0,487.0,586.0,398.0,542.0,570.0,573.0,469.0,547.0,10000.0,464.0,10000.0,10000.0,508.0,10000.0,624.0,10000.0,10000.0,465.0,10000.0,10000.0,10000.0,10000.0,569.0,533.0,10000.0,605.0,10000.0,616.0,10000.0,574.0,10000.0,633.0,10000.0,600.0,10000.0,640.0,10000.0,10000.0,620.0,665.0,597.0,10000.0,640.0,10000.0,633.0,641.0,637.0,661.0,642.0,669.0,666.0,10000.0,636.0,646.0,626.0,613.0
